Loading missing reports data...
Mengambil data dari database Supabase...
[2/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-01...
[3/2802] Fetching Quinos: MKG @ 2025-01-01...
[8/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-02...
[9/2802] Fetching Quinos: MKG @ 2025-01-02...
[14/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-03...
[15/2802] Fetching Quinos: MKG @ 2025-01-03...
[20/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-04...
[21/2802] Fetching Quinos: MKG @ 2025-01-04...
[26/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-05...
[27/2802] Fetching Quinos: MKG @ 2025-01-05...
[32/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-06...
[33/2802] Fetching Quinos: MKG @ 2025-01-06...
[38/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-07...
[39/2802] Fetching Quinos: MKG @ 2025-01-07...
[44/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-08...
[45/2802] Fetching Quinos: MKG @ 2025-01-08...
[50/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-09...
[51/2802] Fetching Quinos: MKG @ 2025-01-09...
[56/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-10...
[57/2802] Fetching Quinos: MKG @ 2025-01-10...
[62/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-11...
[63/2802] Fetching Quinos: MKG @ 2025-01-11...
[68/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-12...
[69/2802] Fetching Quinos: MKG @ 2025-01-12...
[74/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-13...
[75/2802] Fetching Quinos: MKG @ 2025-01-13...
[80/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-14...
[81/2802] Fetching Quinos: MKG @ 2025-01-14...
[86/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-15...
[87/2802] Fetching Quinos: MKG @ 2025-01-15...
[92/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-16...
[93/2802] Fetching Quinos: MKG @ 2025-01-16...
[98/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-17...
[99/2802] Fetching Quinos: MKG @ 2025-01-17...
[104/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-18...
[105/2802] Fetching Quinos: MKG @ 2025-01-18...
[110/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-19...
[111/2802] Fetching Quinos: MKG @ 2025-01-19...
[116/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-20...
[117/2802] Fetching Quinos: MKG @ 2025-01-20...
[122/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-21...
[123/2802] Fetching Quinos: MKG @ 2025-01-21...
[128/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-22...
[129/2802] Fetching Quinos: MKG @ 2025-01-22...
[134/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-23...
[135/2802] Fetching Quinos: MKG @ 2025-01-23...
[140/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-24...
Error LA.PIAZZA 2025-01-24: 
[141/2802] Fetching Quinos: MKG @ 2025-01-24...
[146/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-25...
[147/2802] Fetching Quinos: MKG @ 2025-01-25...
[152/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-26...
[153/2802] Fetching Quinos: MKG @ 2025-01-26...
[158/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-27...
[159/2802] Fetching Quinos: MKG @ 2025-01-27...
[164/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-28...
[165/2802] Fetching Quinos: MKG @ 2025-01-28...
[170/2802] Fetching Quinos: LA.PIAZZA @ 2025-01-29...
